BusinessAddress,BusinessName,BusinessPhone,BusinessStartDate,BusinessType,BusinessLicenseNumber,City,OwnerName,State,StreetDirection,StreetName,StreetNumber,StreetSuffix,Suite,Zip,LocationX,LocationY,Latitude,Longitude,Location
3325 GENERAL MEYER AVE B,,504-610-0102,2012-02-28,Tax Preparation Services,102878671,NEW ORLEANS,"EXCLUSIVE TAX SERVICES, LLC",LA,,GENERAL MEYER,3325,AVE,,70114,0.0,0.0,0,0,POINT (0 0)
26 PIPER LN,GALLAGHER'S GRILL,,2022-01-01,Special Events-Jazz Fest (Vendor),105059274,MANDEVILLE,PAT & CHYRI GALLAGHER,LA,,PIPER,26,LN,,70448-3454,0.0,0.0,0,0,POINT (0 0)
3639 S CARROLLTON AVE,ONE CLEANERS,(504) 455-5705,2024-08-01,Drycleaning & Laundry Services(except Coin-Operated),106009948,NEW ORLEANS,"KEEBEE, LLC DBA ONE CLEANERS",LA,S,CARROLLTON,3639,AVE,,70125,3668046.34,534815.03,29.964957556231397,-90.11044123532714,POINT (-90.11044123532714 29.964957556231397)
718 S CARROLLTON AVE,WALGREENS #4450,847-527-4678,1998-07-10,Pharmacies & Drug Stores,102131282,NEW ORLEANS,WALGREEN #4450,LA,S,CARROLLTON,718,AVE,,70118-1010,3660935.43,527257.9,29.944384640750567,-90.13314714841458,POINT (-90.13314714841458 29.944384640750567)
3109 MAGAZINE ST,,504-481-7371,2021-01-01,Full Service Restaurants(table service available),105055908,NEW ORLEANS,EMPANOLA,LA,,MAGAZINE,3109,ST,,70115-2304,3676010.25,520183.77,29.924490317211173,-90.0857947202558,POINT (-90.0857947202558 29.924490317211173)
10555 LAKE FOREST BLVD 7M,,504-621-8754,2021-01-01,Beauty Salons,105052645,NEW ORLEANS,CLASSY HAIR BY JULIE,LA,,LAKE FOREST,10555,BLVD,,70127,3713044.98,560244.42,30.033481381424153,-89.96738245251858,POINT (-89.96738245251858 30.033481381424153)
4716 ANNUNCIATION ST,RUGBOY RUGS,(516) 581-7126,2024-10-01,Art Dealers,106024796,NEW ORLEANS,RUGBOY RUGS,LA,,ANNUNCIATION,4716,ST,2D,70115-1656,3669850.75,517578.18,29.91750873144173,-90.10532636464917,POINT (-90.10532636464917 29.91750873144173)
3220 SAINT ANN ST,,,2019-01-01,"Miscellaneous Store Retailers(except Tobacco), All Other",105043549,NEW ORLEANS,"STUDIO BKA, LLC",LA,,SAINT ANN,3220,ST,,70119-3919,3675028.42,538611.74,29.975190479770422,-90.08826194168364,POINT (-90.08826194168364 29.975190479770422)
344 CAMP ST,QUEEN & CRESCENT HOTEL,866-247-7936,2015-12-29,Hotels(except Casino Hotels) & Motels,105010540,NEW ORLEANS,"EHQ&C LIQUOR,LLC",LA,,CAMP,344,ST,,70130-2804,3681226.95,529538.25,29.950054827392567,-90.06900156214643,POINT (-90.06900156214643 29.950054827392567)
2100 EARHART BLVD,,(504) 345-3032,2025-01-13,Taxi Service,106054126,NEW ORLEANS,LIONEL TONEY JR.,LA,,EARHART,2100,BLVD,,70113-2120,3677815.67,527761.72,29.945273019210862,-90.07983393704609,POINT (-90.07983393704609 29.945273019210862)
601 LOUISIANA AVE,"P & O PORTS LOUISIANA,INC",504-836-6200,1985-12-19,General Automotive Repair,101253465,NEW ORLEANS,P & O PORTS LOUISIANA   INC,LA,,LOUISIANA,601,AVE,,70115-1247,3675896.27,518106.52,29.918781960202878,-90.08622588344242,POINT (-90.08622588344242 29.918781960202878)
5426 BELLAIRE DR,CERTIFIED CONSTRUCTION PROFESSIONALS,504-905-7764,2011-02-21,"Special Trade Contractors, All Other",102822773,NEW ORLEANS,CERTIFIED CONSTRUCTION PROFESS,LA,,BELLAIRE,5426,DR,,70124-1035,3663956.37,543765.18,29.989686874318142,-90.12305863600369,POINT (-90.12305863600369 29.989686874318142)
42569 CLOVERLEAF DR,CHAD MONISTERE,(228) 209-5701,2025-04-04,Special Events-Other (Vendor),106027793,HAMMOND,CHAD MONISTERE,LA,,CLOVERLEAF,42569,DR,,70403-2196,0.0,0.0,0,0,POINT (0 0)
161-30 119 AVE,,(646) 623-9382,2025-05-06,Special Events-Other (Vendor),106005521,JAMAICA,ANDREW NICHOLS ART,LA,,119,161-30,AVE,,11434-0000,0.0,0.0,0,0,POINT (0 0)
14500 HAYNE BLVD,FERNCREST MANOR LIVING CENTER,504-836-8040,1994-09-01,"Residential Care Facilities, Other",101768473,NEW ORLEANS,"PRESTIGE CARE, LLC",LA,,HAYNE,14500,BLVD,,70128-1751,0.0,0.0,0,0,POINT (0 0)
1200 N PETERS ST,WON JO JOJO'S TRADING CO,,1990-10-01,Flea Market,101464032,NEW ORLEANS,"JO, WON",LA,N,PETERS,1200,ST,,70116-2631,3684590.01,533137.39,29.959848769517027,-90.05825636718689,POINT (-90.05825636718689 29.959848769517027)
5128 LAPALCO BLVD,,(504) 264-1073,2025-01-29,Mobile Food Services,106023750,MARRERO,NEAUXLA ROLLA CATERING LLC,LA,,LAPALCO,5128,BLVD,,70072-4249,0.0,0.0,0,0,POINT (0 0)
1177 ANNUNCIATION ST,KELLYS COASTAL CABANA NEW ORLEANS LLC,(985) 807-3895,2025-01-13,Full Service Restaurants(table service available),106016422,NEW ORLEANS,KELLYS COASTAL CABANA NEW ORLE,LA,,ANNUNCIATION,1177,ST,,70130-4045,3681389.95,525479.03,29.938888385058483,-90.06862835941652,POINT (-90.06862835941652 29.938888385058483)
13800 OLD GENTILLY BLVD,TEMCO LOGISTICS,(909) 492-4046,2025-03-20,Local Messengers & Local Delivery,106008128,NEW ORLEANS,"HOME EXPRESS DELIVERY SERVICE,",LA,,OLD GENTILLY,13800,BLVD,,70129-0000,0.0,0.0,0,0,POINT (0 0)
2411 ORLEANS AVE,THELMA'S HOUSE OF BEAUTY,504-822-4752,1988-01-01,Beauty Salons,101365891,NEW ORLEANS,"MCKENZIE, THELMA",LA,,ORLEANS,2411,AVE,,70119-5027,3677827.87,536308.06,29.968772210289913,-90.07950015143281,POINT (-90.07950015143281 29.968772210289913)
726 JULIA ST,BEARCAT BAKED,504-940-8735,2023-01-01,Full Service Restaurants(table service available),105067004,NEW ORLEANS,"BEARCAT JULIA, LLC",LA,,JULIA,726,ST,,70130-3712,3680275.64,528010.04,29.94588159068172,-90.0720584056566,POINT (-90.0720584056566 29.94588159068172)
110 PINE ST,WEAPON DIRECT,,2025-01-30,Special Events-Other (Vendor),105011277,GLENDIVE,AMER ROGER RAJA,MT,,PINE,110,ST,,59330-3231,0.0,0.0,0,0,POINT (0 0)
701 DECATUR ST,,504-942-9293,2012-02-01,Artist-Painting on Streets,102872959,NEW ORLEANS,LIDIA A. RAMIREZ,LA,,DECATUR,701,ST,,70116-0000,3683203.66,532198.88,29.95731053424882,-90.06266701146087,POINT (-90.06266701146087 29.95731053424882)
1226 S WHITE ST,THE INDEPENDENT,504-275-4611,2019-01-01,Drinking Places(Alcoholic Beverages),105042743,NEW ORLEANS,THE INDEPENDENT SOUTH WHITE LL,LA,S,WHITE,1226,ST,,70125-1924,3671796.55,531080.32,29.954577761095933,-90.09872534995819,POINT (-90.09872534995819 29.954577761095933)
8330 EARHART BLVD,,504-861-1934,2020-01-01,Full Service Restaurants(table service available),105045861,NEW ORLEANS,RED STAR RESTAURANT LLC,LA,,EARHART,8330,BLVD,,70118-4432,3665725.51,533864.85,29.962412776265605,-90.1178021361846,POINT (-90.1178021361846 29.962412776265605)
1001 JULIA ST,MORROW STEAK,504-273-3237,2023-01-01,Full Service Restaurants(table service available),105064569,NEW ORLEANS,1001 JULIA LLC,LA,,JULIA,1001,ST,,70113,3679145.8,528420.14,29.947043377043187,-90.07561147740115,POINT (-90.07561147740115 29.947043377043187)
9734 HAYNE BLVD,SAFARI SMOKES NOLA,504-975-8636,2017-08-11,Special Events-Other (Vendor),105026191,NEW ORLEANS,DONNA WASHINGTON,LA,,HAYNE,9734,BLVD,,70127-1202,0.0,0.0,0,0,POINT (0 0)
3336 S CLAIBORNE AVE,CHIEF MOBILE,(504) 333-3917,2017-09-29,"General Merchandise Stores, All Other",105027286,NEW ORLEANS,CHIEF MOBILE LLC,LA,S,CLAIBORNE,3336,AVE,,70125-4645,3672352.72,526032.97,29.940682717550622,-90.09714112075999,POINT (-90.09714112075999 29.940682717550622)
6021 N CLAIBORNE AVE,LA COYOTA TAQUERIA #1,504-758-9416,2008-10-08,Mobile Food Services,102707087,NEW ORLEANS,JESSE GUTITERREZ JR.,LA,N,CLAIBORNE,6021,AVE,,70117-2014,3700088.15,535167.15,29.96494657358447,-90.00924293740067,POINT (-90.00924293740067 29.96494657358447)
1100 POYDRAS ST,WITCHES BREW TOURS,,2018-01-18,Tour Operators,105030239,NEW ORLEANS,"WITCHES BREW TOURS, LLC",LA,,POYDRAS,1100,ST,2900,70163-2900,529635.45,529635.45,29.6700086034914,-100.0046375793852,POINT (-100.0046375793852 29.6700086034914)
717 S CLAIBORNE AVE,GRACE'S TRANSPORTATION SERVICE LLC,504-416-2330,2009-04-02,"Transit & Ground Passenger Transportation, All Other",102730500,NEW ORLEANS,GRACE'S TRANSPORTATION SERVICE,LA,S,CLAIBORNE,717,AVE,,70113-3115,3676378.84,530342.46,29.95241233848846,-90.08428164627861,POINT (-90.08428164627861 29.95241233848846)
505 ROYAL ST,WELLINGTON,504-525-4855,1998-06-01,Jewelry Stores,102118669,NEW ORLEANS,WELLINGTON & COMPANY LLC,LA,,ROYAL,505,ST,,70130-2113,3682123.12,531945.67,29.95664719652302,-90.066087869469,POINT (-90.066087869469 29.95664719652302)
601 POYDRAS ST,,816-472-1201,2015-08-05,"Research & Development in Physical, Engineering & Life Sciences",105007756,NEW ORLEANS,HNTB CORPORATION,LA,,POYDRAS,601,ST,1530,70130-6094,3680938.02,529396.81,29.949674677976493,-90.06991877299376,POINT (-90.06991877299376 29.949674677976493)
1830 S DUPRE ST,PRICK JEWELRY,(336) 337-6987,2025-03-07,Special Events-Other (Vendor),106041576,NEW ORLEANS,ABIGAIL POPLIN,LA,S,DUPRE,1830,ST,,70125-2948,3670497.63,529557.37,29.950428568366565,-90.10287848455226,POINT (-90.10287848455226 29.950428568366565)
1230 DESIRE ST,,504-949-7151,2015-09-17,Religious Organizations,105007931,NEW ORLEANS,NOLA BAPTIST CHARITIES,LA,,DESIRE,1230,ST,,70117-5612,3690294.39,536359.48,29.968532615045387,-90.04012843323235,POINT (-90.04012843323235 29.968532615045387)
3636 S I-10 SERVICES ROAD W,PINNACLE SECURITY & INVESTIGATION,(504) 934-1411,2025-02-20,Security Guards & Patrol Services,106054265,METAIRIE,PINNACLE SECURITY & INVESTIGAT,LA,S,I-10 SERVICES,3636,ROAD,312,70001-0000,0.0,0.0,0,0,POINT (0 0)
134 N BROAD ST,"HARDY CHIROPRACTIC CENTER, LLC",(504) 813-9497,2025-05-20,Offices of Chiropractors,106020657,NEW ORLEANS,HARDY CHIROPRACTIC CENTER,LA,N,BROAD,134,ST,,70119-5506,3675606.42,535342.37,29.966183542169222,-90.0865488152998,POINT (-90.0865488152998 29.966183542169222)
4921 CHRYSLER ST,CHADSIDY M BLACKSTONE,(504) 329-6620,2024-11-27,"Social Advocacy Organizations, Other",106044860,NEW ORLEANS,BLACKSTONE YOUTH EMPOWERMENT,LA,,CHRYSLER,4921,ST,,70127-3109,3715309.52,557581.8,30.026085818105628,-89.96032716277328,POINT (-89.96032716277328 30.026085818105628)
2438 BURGUNDY ST,,504-734-1990,2010-03-16,Video Draw Poker Devices,102776941,NEW ORLEANS,ALGIERS ROY & SONS MUSIC CO IN,LA,,BURGUNDY,2438,ST,,70117-7830,0.0,0.0,0,0,POINT (0 0)
110 PLEASANT VALLEY DR,TAILORED TREASURES,(504) 421-1276,2025-02-25,Special Events-Other (Vendor),106027378,DES ALLEMANDS,JEANNE ALLEMAN,LA,,PLEASANT VALLEY,110,DR,,70030-3315,0.0,0.0,0,0,POINT (0 0)
4315 ROYAL ST,,225-719-7325,2024-01-01,Art Dealers,105071197,NEW ORLEANS,"CHEMICAL14, LLC",LA,,ROYAL,4315,ST,,70117-4727,3692488.79,533576.01,29.96081077128356,-90.03329816356346,POINT (-90.03329816356346 29.96081077128356)
901 DAVID DR,STEINWAY PIANO GALLERY OF NEW ORLEANS (HALL PIANO CO),(504) 733-8863,2025-04-03,Special Events-Other (Vendor),106055298,METAIRIE,STEINWAY PIANO GALLERY OF NEW,LA,,DAVID,901,DR,,70003-5134,0.0,0.0,0,0,POINT (0 0)
7537 MAPLE ST,BURGER NERDS,(504) 598-6959,2025-03-28,Full Service Restaurants(table service available),106024313,NEW ORLEANS,NUEVO LATINO CUISINE LLC,LA,,MAPLE,7537,ST,,70118-5045,3662402.18,526123.35,29.94122266466288,-90.12855383624667,POINT (-90.12855383624667 29.94122266466288)
937 LEONIDAS ST,MICHAEL'S CATERING,504-865-9531,2000-05-01,Caterers,102242807,NEW ORLEANS,MAT & NADDIE'S INC,LA,,LEONIDAS,937,ST,,70118-1120,3660200.58,528975.35,29.94912822522577,-90.13541060513118,POINT (-90.13541060513118 29.94912822522577)
2169 AUBRY ST,SEAL'S CLASS ACT,504-948-7325,2011-01-06,Drinking Places(Alcoholic Beverages),102814495,NEW ORLEANS,"SEALS CLASS ACT, LLC",LA,,AUBRY,2169,ST,,70119-1601,3681218.7,539961.65,29.978715859609775,-90.06866436515723,POINT (-90.06866436515723 29.978715859609775)
339 CARONDELET ST A,OLIVE,504-502-2611,2021-01-01,Full Service Restaurants(table service available),105055132,NEW ORLEANS,ZAITOON LLC,LA,,CARONDELET,339,ST,,70130,3680400.02,529895.24,29.951061493050926,-90.07160015410915,POINT (-90.07160015410915 29.951061493050926)
1301 ANTONINE ST,ATLAS PSYCHIATRY LLC,504-899-1682,2010-03-03,"Offices of Physicians, Mental Health Specialists",102775031,NEW ORLEANS,"PEJIC G. NICHOLAS, MD",LA,,ANTONINE,1301,ST,,70115-3601,3673660.87,519965.15,29.92395930721305,-90.09321839340053,POINT (-90.09321839340053 29.92395930721305)
4412 LAUDUN ST,RYAN M HARMON,(504) 444-7216,2025-02-21,"Plumbing, Heating and Air-Conditioning Contractors",106020921,METAIRIE,HARMON SERVICES,LA,,LAUDUN,4412,ST,,70006-2226,0.0,0.0,0,0,POINT (0 0)
701 DECATUR ST,KUDRABEETZ,541-613-6616,2020-01-01,Artist-Painting on Streets,105050476,NEW ORLEANS,SETCHIM JESSICA,LA,,DECATUR,701,ST,,70116-0000,3683203.66,532198.88,29.95731053424882,-90.06266701146087,POINT (-90.06266701146087 29.95731053424882)
2627 COMET ST,SOUTHERN CREATIVE STUDIO,(000) 000-0000,2025-03-28,Special Events-Other (Vendor),106037940,NEW ORLEANS,RICHARD HAMPTON III,LA,,COMET,2627,ST,,70131-5103,3699784.87,521219.71,29.926605643397913,-90.01070907586498,POINT (-90.01070907586498 29.926605643397913)
701 DECATUR ST,EVETTE CREATIVE DESIGN,,2023-01-01,Artist-Painting on Streets,105063423,NEW ORLEANS,ANGLIN EDIE,LA,,DECATUR,701,ST,,70116-0000,3683203.66,532198.88,29.95731053424882,-90.06266701146087,POINT (-90.06266701146087 29.95731053424882)
3308 TULANE AVE,TRAINING GROUND INC,(504) 408-0506,2025-03-25,Educational Support Services,106054396,SLIDELL,TRAINING GROUND INC,LA,,TULANE,3308,AVE,325,70458-6205,0.0,0.0,0,0,POINT (0 0)
7009 READ BLVD,TOUCAN GAMING LLC,(504) 337-5344,2025-01-16,Video Draw Poker Devices,106010449,NEW ORLEANS,TOUCAN GAMING LLC,LA,,READ,7009,BLVD,,70127-2221,3709985.85,562120.24,30.03873905851385,-89.97697937599305,POINT (-89.97697937599305 30.03873905851385)
2525 BURGUNDY ST,PEREZ A PROFESSIONAL CORP,504-584-5100,2000-06-01,Architectural Services,102260368,NEW ORLEANS,PEREZ A PROFESSIONAL COR,LA,,BURGUNDY,2525,ST,,70117-7831,3686786.29,535763.08,29.967001122741696,-90.05122824588285,POINT (-90.05122824588285 29.967001122741696)
541 DECATUR,VIEUX SPORTS SALOON & CAFE,(702) 235-6546,2025-03-25,Full Service Restaurants(table service available),106041994,NEW ORLEANS,"DECATUR 541, LLC.",LA,,DECATUR,541,,,70130-0000,3682884.66,531703.62,29.95595846108078,-90.06369164426852,POINT (-90.06369164426852 29.95595846108078)
2019 SIMON BOLIVAR AVE,WILCOX ACADEMY-CENTRAL CITY,504-354-2015,2019-01-01,Child Day Care Services,105042758,NEW ORLEANS,WILCOX ACADEMY OF EARLY LEARNI,LA,,SIMON BOLIVAR,2019,AVE,,70113-1440,3676634.5,525899.33,29.940187538635456,-90.08362739913214,POINT (-90.08362739913214 29.940187538635456)
25781 CARNOUSTIE WAY,INTEGRITY MAILBOXES AND SIGNAGE,(225) 763-9400,2025-04-02,Special Events-Other (Vendor),106045550,DENHAM SPRINGS,INTEGRITY MAILBOXES AND SIGNAG,LA,,CARNOUSTIE,25781,WAY,,70726-6486,0.0,0.0,0,0,POINT (0 0)
900 CAMP ST,"TITAN BUILDERS & CONTRACTORS, LLC",(504) 628-7354,2025-02-17,Carpentry Contractors,106058762,NEW ORLEANS,"TITAN BUILDERS & CONTRACTORS,",LA,,,,,,70130-0000,0.0,0.0,0,0,POINT (0 0)
546 CARONDELET ST,MAISON METIER,(504) 566-3034,2024-08-05,Hotels(except Casino Hotels) & Motels,106118408,NEW ORLEANS,HRI LODGING LLC,LA,,CARONDELET,546,ST,,70130-3588,3680269.37,529059.15,29.948766481553243,-90.0720417407667,POINT (-90.0720417407667 29.948766481553243)
739 JACKSON AVE,TURKEY AND THE WOLF,434461178,2015-11-10,Full Service Restaurants(table service available),105009418,NEW ORLEANS,TURKEY AND THE WOLF LLC,LA,,JACKSON,739,AVE,,70130-4937,3679595.42,521194.22,29.927160908056006,-90.07444251846286,POINT (-90.07444251846286 29.927160908056006)
10826 HAYNES BLVD,LUCKY COIN MACHINE CO LLC,(504) 835-3232,2025-03-28,Video Draw Poker Devices,106054894,NEW ORLEANS,LUCKY COIN MACHINE CO LLC,LA,,HAYNES,10826,BLVD,,70127-0000,0.0,0.0,0,0,POINT (0 0)
214 N CARROLLTON AVE,ANGELO BROCATO ICE CREAM & CONFECTION,,1980-01-02,Dairy Product(except Dried or Canned)Wholesalers,101126145,NEW ORLEANS,ANGELO BROCATO ICE CREAM & CON,LA,N,CARROLLTON,214,AVE,,70119-5109,3671573.29,538698.69,29.97553234211915,-90.09917121877774,POINT (-90.09917121877774 29.97553234211915)
3913 DOWNMAN RD,,504-888-4232,2011-06-15,Household Appliance Stores,102842154,NEW ORLEANS,IDEAL APPLIANCES PARTS INC,LA,,DOWNMAN,3913,RD,,70126-3742,3696260.94,551739.32,30.010635049833002,-90.02072946486913,POINT (-90.02072946486913 30.010635049833002)
2517 JENA ST,"ALAN BEHRMAN & ASSOCIATES, PC",(770) 361-7864,2025-03-17,"Offices of Physicians, Mental Health Specialists",106053230,NEW ORLEANS,"UNLIMITED PERFORMANCE, CORP",LA,,JENA,2517,ST,,70115-6322,3670169.06,524136.51,29.93553266287836,-90.10409956021894,POINT (-90.10409956021894 29.93553266287836)
1200 N PETERS ST,ISLANDS TREASURES,(678) 743-1878,2024-09-30,Flea Market,106106780,NEW ORLEANS,YEMONJA ESCOBAR,LA,N,PETERS,1200,ST,,70116-2631,3684590.01,533137.39,29.959848769517027,-90.05825636718689,POINT (-90.05825636718689 29.959848769517027)
323 12TH ST,CRESCENT CITY BURGERS (FOOD TRUCK),(504) 994-1799,2025-04-08,Mobile Food Services,106016798,GRETNA,"CRESCENT CITY BURGERS, LLC  (F",LA,,12TH,323,ST,,70053-5523,0.0,0.0,0,0,POINT (0 0)
615 CITY PARK AVE,DEPAUL COMMUNITY HEALTH CENTER,(504) 212-9558,2019-01-01,"Offices of Health Practitioners, All Other Miscellaneous",105037387,NEW ORLEANS,MARILLAC COMMUNITY CENTER,LA,,CITY PARK,615,AVE,,70119-4399,3670042.09,542808.4,29.986877907457156,-90.10386791243344,POINT (-90.10386791243344 29.986877907457156)
360 DELACROIX RD,,504-875-7277,2021-01-01,Landscaping Services,105053645,NEW ORLEANS,SOUTHERN CITY FARM,LA,,DELACROIX,360,RD,,70131-3104,3726167.14,515929.15,29.91119482743368,-89.92763360244882,POINT (-89.92763360244882 29.91119482743368)
4440 FRANKLIN AVE,,504-439-0098,2008-06-23,"Plumbing, Heating and Air-Conditioning Contractors",102694694,NEW ORLEANS,WJE LLC,LA,,FRANKLIN,4440,AVE,,70122-6108,3686850.37,549195.36,30.00393314585788,-90.05055099380954,POINT (-90.05055099380954 30.00393314585788)
1433 N CLAIBORNE AVE,THRIVE NEW ORLEANS,(504) 564-7739,2024-11-08,"Social Advocacy Organizations, Other",106009202,NEW ORLEANS,THRIVE NEW ORLEANS,LA,N,CLAIBORNE,1433,AVE,,70116-1810,3681338.97,536901.21,29.970297059196902,-90.06839121491821,POINT (-90.06839121491821 29.970297059196902)
5961 MAGAZINE ST,REGINELLI'S PIZZERIA,504-899-1414,1997-08-01,Full Service Restaurants(table service available),102061578,NEW ORLEANS,UPTOWN CAFE LLC,LA,,MAGAZINE,5961,ST,,70115-3220,3664757.7,519229.14,29.9221974583145,-90.12134721237788,POINT (-90.12134721237788 29.9221974583145)
300 CHARTRES ST,GOUDEAU,318-876-3377,2022-01-01,Video Draw Poker Devices,105062409,NEW ORLEANS,GOUDEAU INC,LA,,CHARTRES,300,ST,,70130-2217,3681986.38,531087.64,29.9542920628561,-90.0665496033167,POINT (-90.0665496033167 29.9542920628561)
9111 CROSS PARK DR,MJE ENTERPRISES,(865) 405-4845,2025-01-12,Special Events-Other (Vendor),106057216,KNOXVILLE,JOHN EMMANUELLI,TN,,CROSS PARK,9111,DR,131,37923-4506,0.0,0.0,0,0,POINT (0 0)
1401 FOUCHER ST,MORRISON MANAGEMENT SPECIALISTS INC,(251) 461-3050,2024-01-01,Food Service Contractors,106018169,NEW ORLEANS,MORRISON MANAGEMENT SPECIALIST,LA,,FOUCHER,1401,ST,,70115-3515,3673812.11,520539.87,29.92553510091261,-90.09272133967266,POINT (-90.09272133967266 29.92553510091261)
7641 ANNE MARIE CT,,504-289-7822,2021-01-01,General Freight Trucking,105055352,NEW ORLEANS,CRESCENT DELTA LOGISTICS,LA,,ANNE MARIE,7641,CT,,70128-1573,3717926.85,571303.85,30.063729353866655,-89.95153394205573,POINT (-89.95153394205573 30.063729353866655)
1025 NORHT BROAD,SWEET SOULFOOD,(504) 821-2669,2025-04-29,Special Events-Other (Vendor),106046656,NEW ORLEANS,CHETWAN SMITH,LA,,NORHT BROAD,1025,,,70112-0000,0.0,0.0,0,0,POINT (0 0)
4801 CHEF MENTEUR HWY,SOUL TRAIN FASHIONS,504-288-8141,2002-07-15,"Clothing Stores, Other",102385721,NEW ORLEANS,"SOUL TRAIN, INC",LA,,CHEF MENTEUR,4801,HWY,,70126-5013,3691984.71,550424.01,30.00715243363965,-90.0342867829823,POINT (-90.0342867829823 30.00715243363965)
3801 SAINT BERNARD AVE,CHARTWELLS DINING SERVICE,225-270-9266,2016-09-09,Food Service Contractors,105017882,NEW ORLEANS,CHARTWELLS CAFE,LA,,SAINT BERNARD,3801,AVE,,70122-1145,3678008.39,546217.2,29.996013475985645,-90.07858737880854,POINT (-90.07858737880854 29.996013475985645)
3641 MAGAZINE ST,THE BOULIGNY TAVERN,504-352-8538,2010-08-10,Drinking Places(Alcoholic Beverages),102795172,NEW ORLEANS,"HARRIS JELK ENTERPRISES, LLC",LA,,MAGAZINE,3641,ST,,70115-2553,3673767.53,519237.33,29.92195486105746,-90.09290657656423,POINT (-90.09290657656423 29.92195486105746)
1532 TULANE AVE,,504-258-7639,2019-01-01,Parking Lots & Garages,105039463,NEW ORLEANS,GOPARK LASALLE GARAGE,LA,,TULANE,1532,AVE,,70112-2860,3678292.39,531588.88,29.95578208054427,-90.07819641922787,POINT (-90.07819641922787 29.95578208054427)
4481 LEGENDARY DR,HEALTHY FEET,(800) 410-2325,2025-04-02,Special Events-Other (Vendor),106065285,DESTIN,HEALTHY FEET,FL,,LEGENDARY,4481,DR,,32541-5381,0.0,0.0,0,0,POINT (0 0)
9698 HADDON AVE,CHRISTIAN ANGEL,(510) 710-2981,2025-01-12,Special Events-Other (Vendor),106050979,PACOIMA,JOSEPH QUACH,CA,,HADDON,9698,AVE,,91331-6811,0.0,0.0,0,0,POINT (0 0)
2427 CAMP ST,,(917) 327-6188,2018-07-25,Marketing Consulting Services,105034336,NEW ORLEANS,VENDELOO INC,LA,,CAMP,2427,ST,E,70130-5645,3677632.49,521759.89,29.92877546974654,-90.0806194658697,POINT (-90.0806194658697 29.92877546974654)
2737 BANKS ST,,504-821-4420,2008-02-21,"Plumbing, Heating and Air-Conditioning Contractors",102676190,NEW ORLEANS,MAGEE & SONS PLUMBING LLC,LA,,BANKS,2737,ST,,70119-7355,3674387.29,534406.15,29.963645671283803,-90.09043087683605,POINT (-90.09043087683605 29.963645671283803)
10001 LAKE FOREST BLVD 1100,,504-353-5239,2021-01-01,Reception hall rental or leasing,105054730,NEW ORLEANS,NOLA SKYLINE EVENT CENTER LLC,LA,,LAKE FOREST,10001,BLVD,,70127,3711403.71,560257.82,30.033571921671836,-89.97256848973893,POINT (-89.97256848973893 30.033571921671836)
2100 SAINT CHARLES AVE SUITE #1,POSEIDON,504-509-6675,2015-09-04,Full Service Restaurants(table service available),105007686,NEW ORLEANS,OYSTER SUSHI BAR LLC,LA,,SAINT CHARLES,2100,AVE,,70115,3677859.37,523772.74,29.93430332654849,-90.07983374032025,POINT (-90.07983374032025 29.93430332654849)
4228 EVE ST,CODEY'S NOLA-SPECIAL EVENT,,2023-09-25,Special Events-Other (Vendor),105067697,NEW ORLEANS,SINNIDRA TAYLOR-SPECIAL EVENT,LA,,EVE,4228,ST,,70125-2816,3670400.89,530627.05,29.953372693024157,-90.10314767880277,POINT (-90.10314767880277 29.953372693024157)
127 CARONDELET ST,GALLIER COURT APARTMENTS,(504) 261-8048,2015-01-01,Lessors of Residential Bulidings & Dwellings,105009448,NEW ORLEANS,"127-129 CARONDELET, LLC",LA,,CARONDELET,127,ST,,70130,3680694.85,530693.8,29.953248333761277,-90.07064144305188,POINT (-90.07064144305188 29.953248333761277)
330 MORGAN ST,S E D SERVICES,504-486-0371,2002-10-15,Administrative Management & General Management Consulting Services,102388917,NEW ORLEANS,"S E D SERVICES,INC",LA,,MORGAN,330,ST,603,70114-1071,3686123.59,531288.63,29.954718301460108,-90.05347888034002,POINT (-90.05347888034002 29.954718301460108)
4315 GENERAL PERSHING ST,CONRAD ROSE,504 400 7891,2019-01-01,Home Based-Office Use Only,105037829,NEW ORLEANS,CONRAD ROSE LLC,LA,,GENERAL PERSHING,4315,ST,,70125-3631,3669554.91,529736.32,29.95094842445122,-90.105849059373,POINT (-90.105849059373 29.95094842445122)
901 HARRISON AVE,TASTEE # 77,504-737-1808,2012-03-15,Full Service Restaurants(table service available),102881851,NEW ORLEANS,"TASTEE #38, LLC.",LA,,HARRISON,901,AVE,,70124-3801,3670072.95,549287.69,30.004692804022525,-90.10355078676106,POINT (-90.10355078676106 30.004692804022525)
6596 MILNE BLVD,DELBERT ELECTRIC,504-486-2604,1997-10-01,Electrical Contractors,102073266,NEW ORLEANS,DELBERT THOMAS,LA,,MILNE,6596,BLVD,,70124-2263,3667319.25,551500.83,30.010859143933384,-90.11217578595117,POINT (-90.11217578595117 30.010859143933384)
3750 WILLIAMS BLVD,MERCADO,(504) 914-0042,2025-03-14,Special Events-Other (Vendor),106041556,KENNER,"MERCADO, LLC",LA,,WILLIAMS,3750,BLVD,1,70065-3062,0.0,0.0,0,0,POINT (0 0)
